road,id,model_type,condition,name,lat,lon,length
N1,N1_LRP034a,bridge,A,Madhya Baushia Bridge(L),23.54268543,90.67482921,72.49
N1,N1_link33,link,,,23.53773031,90.68034966,1590
N1,N1_LRP035a,bridge,A,.,23.53277519,90.68587011,9.5
N1,N1_link34,link,,,23.53208743,90.68665952,227
N1,N1_LRP036a,bridge,A,Baushia bazar Bridge( L ),23.53139966,90.68744893,25.45
N1,N1_link35,link,,,23.53077581,90.68862205,299
N1,N1_LRP036c,bridge,A,CHAR BOUSHEA (2),23.53015196,90.68979518,8.4
N1,N1_link36,link,,,23.53098772,90.75040535,12677
N1,N1_LRP049a,bridge,A,Ginlatoly bridge,23.53182348,90.81101551,15.9
N1,N1_link37,link,,,23.5323989,90.82099649,2174
N1,N1_LRP051a,bridge,A,RAIPUR BOX CULVERT,23.53297433,90.83097748,12.2
N1,N1_link38,link,,,23.51716476,90.88918094,12980
N1,N1_LRP064c,bridge,A,SONAPUR BOX CULVERT,23.50135519,90.94738441,3
N1,N1_link39,link,,,23.497314,90.96805223,4502
N1,N1_LRP068a,bridge,A,MILL GHAT BOX CULVERT,23.49327281,90.98872004,4.5
N1,N1_link40,link,,,23.48753007,91.01752746,6239
N1,N1_LRP075a,bridge,B,CORI PAI BOX CULVERT,23.48178732,91.04633489,4.6
N1,N1_link41,link,,,23.4812002,91.05687233,2202
N1,N1_LRP077a,bridge,A,NIMSHAR SLAB CULVERT,23.48061309,91.06740977,1.5
N1,N1_link42,link,,,23.47979234,91.09279483,5365
N1,N1_LRP084a-N102_LRPS,intersection,,,23.4789716,91.1181799,0
N1,N1_link43,link,,,23.47918999,91.12103599,591
N1,N1_LRP083a,bridge,A,TIPRA BAZAR BOX CULVERT,23.47940839,91.12389208,1.4
N1,N1_link44,link,,,23.47947666,91.12646961,552
N1,N1_LRP083b,bridge,A,AMTOLI SLAB CULVERT,23.47954492,91.12904714,2.9
N1,N1_link45,link,,,23.46158944,91.13920698,4724
N1,N1_LRP088a,bridge,A,DHANPUR RCC GIDER BRIDGE,23.44363396,91.14936682,23.4
N1,N1_link46,link,,,23.42778319,91.1716349,5887
N1,N1_LRP094a,bridge,C,Mostapur Bridge,23.41193242,91.19390298,27.35
N1,N1_link47,link,,,23.40479212,91.20866256,3657
N1,N1_LRP098a,bridge,A,RAZAPARA RCC GIDER BRIDGE,23.39765182,91.22342213,27.9
N1,N1_link48,link,,,23.3845083,91.23421984,3681
N1,N1_LRP101a,bridge,A,Suagazi Bridge.,23.37136478,91.24501754,30.48
