road,id,model_type,break_prob,name,lat,lon,length,condition
N1,N1_link105,link,,,22.5526469036764,91.6900661514278,1451.9999999999982,
N1,N1_LRP213a,bridge,0.0,SOUTH BALSH KHALI BOX CULVERT,22.5467727210909,91.6926260603636,3.0,
N1,N1_link106,link,,,22.5456312483636,91.6933785694545,300.00000000001137,
N1,N1_LRP213b,bridge,0.0,DOKHIN BASH-KHALI BOX CULVERT,22.5444897756363,91.6941310785454,5.2,
N1,N1_link107,link,,,22.5417598995528,91.6953381765176,656.9999999999823,
N1,N1_LRP214a,bridge,0.0,SOTTANA MONDIR CULVERT,22.5390300234693,91.6965452744898,8.2,
N1,N1_link108,link,,,22.5346989136577,91.69850469867345,1050.0000000000114,
N1,N1_LRP215a,bridge,0.0,GULAM JUTE MILE BOX CULVERT,22.5303678038461,91.7004641228571,3.0,
N1,N1_link109,link,,,22.5181949238098,91.7058744723719,2984.000000000009,
N1,N1_LRP218a,bridge,0.0,ROYL CIMINT GATE CULVETRT,22.5060220437735,91.7112848218867,4.5,
N1,N1_link110,link,,,22.50305393867505,91.7127176561988,728.999999999985,
N1,N1_LRP218b,bridge,0.0,GORA MARA RCC GIRDER BRIDGE,22.5000858335766,91.7141504905109,17.6,
N1,N1_link111,link,,,22.49281692023655,91.7168407211175,1746.0000000000093,
N1,N1_LRP220a,bridge,0.0,BARAOWLLA BOX CULVERT,22.4855480068965,91.7195309517241,4.5,
N1,N1_link112,link,,,22.48335611068655,91.71994715748784,498.9999999999952,
N1,N1_LRP220b,bridge,0.5655502392344498,MUDDO SONAISORI BRIDGE,22.4811642144766,91.7203633632516,23.2,
N1,N1_link113,link,,,22.477008651915497,91.7218133586926,985.99999999999,
N1,N1_LRP221a,bridge,0.0,HATIBORI BOX CULVERT,22.4728530893544,91.7232633541336,6.0,
N1,N1_link114,link,,,22.4676458622772,91.7258970270668,1298.0000000000018,
